"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4YGNCXF6","book","1900","Vaz; Albuquerque","Topografia prática e agrimensura","","","","","","","1900","2025-06-10 11:12:23","2025-06-10T11:12:23Z","","","","","","","","","Biblioteca de Instrução Profissional","","","","Livraria Bertrand","Lisboa","","","","","","","","","","","","","377; Ensino técnico-profissional. Ensino técnico. Formação profissional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L5S67IYW","book","1941","Fontes","A resinagem do pinheiro bravo","","","","","","","1941","2025-06-10 11:12:23","2025-06-10T11:12:23Z","","","","","","","","","","","","","Livraria Civilização","Porto","","","","","","","","","","","","","581.1; Fisiologia das plantas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJVA6N37","book","","Pinheiro","Elementos de projecções","","","","","","","","2025-06-10 11:12:23","2025-06-10T11:12:23Z","","","","","","","","","Biblioteca de Instrução Profissional","","","","Livraria Bertrand","Lisboa","","","","","","","","","","","","","377; Ensino técnico-profissional. Ensino técnico. Formação profissional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9DV3T2J4","book","1934","Pinheiro","Desenho de máquinas","","","","","","","1934","2025-06-10 11:12:23","2025-06-10T11:12:23Z","","","","","","","","","Biblioteca de Instrução Profissional","","","","Livraria Bertrand","Lisboa","","","","","","","","","","","","","74; Desenho. Design. Artes e ofícios aplicados","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XCENTRSM","book","1903","Pinheiro","A questão do álcool","","","","","","","1903","2025-06-10 11:12:23","2025-06-10T11:12:23Z","","","","","","","","","","","","","Typ. A Popular","Lisboa","","","","","","","","","","","","","663.5; Bebidas alcoólicas. Licores espirituosos. Destilação, refinagem de álcool","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KFJVCM8K","book","1900","Pinheiro","Manual do formador e estucador","","","","","","","1900","2025-06-10 11:12:23","2025-06-10T11:12:23Z","","","","","","","","","Bibliotheca de Instrucção Profissional","","","","Livrarias Aillaud e Bertrand","Lisboa","","","","","","","","","","","","","377; Ensino técnico-profissional. Ensino técnico. Formação profissional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W6J2UUA3","book","1900","Real; Barata; Pinheiro","Manual do fogueiro","","","","","","","1900","2025-06-10 11:12:23","2025-06-10T11:12:23Z","","","","","","","","","Bibliotheca de Instrucção Profissional","","","","Livrarias Aillaud e Bertrand","Lisboa","","","","","","","","","","","","","377; Ensino técnico-profissional. Ensino técnico. Formação profissional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4PL3J99R","book","1951","Chagas","A morgadinha de Valflor: drama em 5 actos","","","","","","","1951","2025-06-10 11:12:23","2025-06-10T11:12:23Z","","","","","","","","","","","","","Editorial Inquérito","Lisboa","","","","","","","","","","","","","82-2; Drama. Peças de teatro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G7LSJ4KT","book","1892","Chagas","Os descobrimentos portugueses e os de Colombo: tentativa de coordenação histórica","","","","","","","1892","2025-06-10 11:12:23","2025-06-10T11:12:23Z","","","","","","","","","","","","","Academia Real das Ciências","Lisboa","","","","","","","","","","","","","94(469)""14/15""; História em geral; Portugal. República Portuguesa; Século XV e Século XVI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53KT7PH2","book","1836","Varnhagen","Manual de instruções práticas sobre sementeira, cultura e corte de pinheiros, e conservação da madeira dos mesmos; indicando-se os methodos mais proprios para o clima de Portugal","","","","","","","1836","2025-06-10 11:12:23","2025-06-10T11:12:23Z","","","","","","","","","","","","","Typografia da Academia","Lisboa","","","","","","","","","","","","","630; Silvicultura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BJATUHCQ","book","1950","Marçal; Guimarães","Vilar do Pinheiro: concelho de Vila do Conde: subsídios para a sua monografia","","","","","","","1950","2025-06-10 11:12:23","2025-06-10T11:12:23Z","","","","","IX","","","","Comissão de Etnografia e História","","","","Junta de Província do Douro Litoral","Porto","","","","","","","","","","","","","908; Monografias","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QWB6CHHP","book","2004","Silva; Horta","Manuel Gustavo Bordalo Pinheiro (1867-1920): obra cerâmica e gráfica","","972-776-084-8","","","","","2004","2025-06-10 11:12:23","2025-06-10T11:12:23Z","","","","","","","","","","","","","Instituto Português dos Museus; Museu de Cerâmica","Caldas da Rainha","","","","","","","","","","","","","738","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VMFKEJDK","book","1900","Silva; Pinheiro","Manual do condutor de máquinas","","","","","","","1900","2025-06-10 11:12:23","2025-06-10T11:12:23Z","","","","","","","","","Biblioteca de Instrução Profissional","","","","Livraria Bertrand","Lisboa","","","","","","","","","","","","","377; Ensino técnico-profissional. Ensino técnico. Formação profissional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PKFPZI2U","book","1948","Pacheco","Pinheiro Chagas: Ministro da Marinha e Ultramar","","","","","","","1948","2025-06-10 11:12:23","2025-06-10T11:12:23Z","","","","","120","","","","Pelo Império","","","","Agência Geral das Colónias","Lisboa","","","","","","","","","","","","","929 Chagas, Pinheiro; Biografias. Estudos relacionados com biografias; Chagas, Pinheiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KUZYUFJ6","book","2009","Barros; Raimundo; Pinto; Berardo","O universo de Rafael Bordalo Pinheiro: da caricatura à cerâmica","","978-989-95887-5-2","","","","","2009","2025-06-10 11:12:22","2025-06-10T11:12:22Z","","","","","","","","","","","","","Fundação Museu do Douro","Peso da Régua","","","","","","","","","","","","","73(083.82); Cerâmica; Faiança; Pinheiro; Portugal; séc. 19-20","Museu do Douro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F4LPEHV9","book","2006","","Os Teixeiras de Bragança: a descendência de António José Teixeira, comendador da Ordem de Cristo","","","","","","","2006","2025-06-10 11:12:22","2025-06-10T11:12:22Z","","","","","","","","","","","","","Câmara Municipal de Bragança","Bragança","","","","","","","","","","","","","929 CAM (FG)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D4APIH8K","book","1951","","Três anos na Direcção da Casa do Douro (1947-1948-1949)","","","","","","","1951","2025-06-10 11:12:22","2025-06-10T11:12:22Z","","","","","","","","","","","","","Imprensa do Douro","Régua","","","","","","","","","","","","","658 Fon (FA)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F5E3QHJ2","book","2009","Azevedo","POC 2007 - Projectos financiados pelo Programa Operacional de Cultura: património, museus, recintos culturais, grandes eventos culturais","","978-972-99175-2-3","","","","","2009","2025-06-10 11:12:22","2025-06-10T11:12:22Z","","","","","","","","","","","","","Programa Operacional da Cultura - POC","[Lisboa]","","","","","","","","","","","","","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5FP37TJG","book","","","O Pavilhão Portuguez do Quai D'Orsay: Exposição de Paris 1889.","","","","","","","","2025-06-10 11:12:22","2025-06-10T11:12:22Z","","","","","","","","","Suplemento dos «Pontos nos II: Semanário Humorístico de Raphael Bordallo Pinheiro»","","","","Imprensa P. Mouillot","Paris","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YF29HIY8","book","1990","","Os reis: Costa Pinheiro 1964-66: retrospectiva.","","","","","","","1990","2025-06-10 11:12:22","2025-06-10T11:12:22Z","","","","","","","","","","","","","Fundação de Serralves","Porto","","","","","","","","","","","","","75 Pinheiro; Costa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
