DATA,HORA,PREFIXO,NOME,CONCATENAR
24/01/2025,12:29,Ficheiro_,(CAOP2023).zip,Ficheiro_(CAOP2023).zip
13/04/2025,18:35,Ficheiro_,1139-1150.geojson,Ficheiro_1139-1150.geojson
13/04/2025,18:35,Ficheiro_,1150-1200.geojson,Ficheiro_1150-1200.geojson
24/01/2025,12:23,Ficheiro_,2.gpkg,Ficheiro_2.gpkg
24/01/2025,12:45,Ficheiro_,222.gpkg,Ficheiro_222.gpkg
13/04/2025,19:56,Ficheiro_,860-1064.geojson,Ficheiro_860-1064.geojson
15/04/2025,11:57,Ficheiro_,AconstrucaoDoPassadoMedieval.pdf,Ficheiro_AconstrucaoDoPassadoMedieval.pdf
15/04/2025,12:44,Ficheiro_,Artigo-297-1-10-20180919.pdf,Ficheiro_Artigo-297-1-10-20180919.pdf
12/04/2025,13:53,Ficheiro_,CAOP_Continente_2024-gpkg.zip,Ficheiro_CAOP_Continente_2024-gpkg.zip
14/04/2025,21:22,Ficheiro_,,Ficheiro_
28/01/2025,18:47,Ficheiro_,contrato_signed.pdf,Ficheiro_contrato_signed.pdf
28/01/2025,18:46,Ficheiro_,,Ficheiro_
14/04/2025,21:23,Ficheiro_,CSV2.csv,Ficheiro_CSV2.csv
12/04/2025,14:40,Ficheiro_,d944265db2cb2518ef436cab53ef7fdb.jpg,Ficheiro_d944265db2cb2518ef436cab53ef7fdb.jpg
12/04/2025,14:58,Ficheiro_,,Ficheiro_
12/04/2025,14:33,Ficheiro_,DARMC_roman_roads_2008.zip,Ficheiro_DARMC_roman_roads_2008.zip
12/04/2025,14:50,Ficheiro_,IMG_1562.png,Ficheiro_IMG_1562.png
24/01/2025,12:28,Ficheiro_,Medievalista_2020_2025.zip,Ficheiro_Medievalista_2020_2025.zip
12/04/2025,14:57,Ficheiro_,mosteiros_cluny.zip,Ficheiro_mosteiros_cluny.zip
13/04/2025,18:34,Ficheiro_,OHM_portugal_borders.gpkg,Ficheiro_OHM_portugal_borders.gpkg
15/04/2025,12:23,Ficheiro_,Ordenar_o_mundo_pela_fronteira_imaginada.pdf,Ficheiro_Ordenar_o_mundo_pela_fronteira_imaginada.pdf
24/01/2025,13:01,Ficheiro_,permissoes_geoportal.ods,Ficheiro_permissoes_geoportal.ods
13/04/2025,19:52,Ficheiro_,portugal_caop24.gpkg,Ficheiro_portugal_caop24.gpkg
13/04/2025,22:03,Ficheiro_,reino.gpkg,Ficheiro_reino.gpkg
15/04/2025,11:20,Ficheiro_,relationships.pdf,Ficheiro_relationships.pdf
12/04/2025,13:36,Ficheiro_,result.csv,Ficheiro_result.csv
24/01/2025,13:01,Ficheiro_,result.gpkg,Ficheiro_result.gpkg
24/01/2025,12:58,Ficheiro_,result.json,Ficheiro_result.json
